|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|
|FSR 0736         |05 29 07|+44 46.2|0.14|        |             |89|1800|9.335|        0.057|
|ASCC 11          |03 32 17|+44 50.4|0.41|    0.73|         5.64|407|837|8.345|             |
|Berkeley 11      |04 20 28|+44 54.9|0.165|        |             |188|1964|8.7|             |
|NGC 7039         |21 11 03|+45 44.0|0.29|  -11.60|         0.60|623|1550|8.655|        0.069|
|FSR 0686         |04 25 52|+46 05.7|0.18|  -16.50|         4.50|176|1073|7.5|             |
|ASCC 124         |22 47 35|+46 18.6|0.31|        |             |158|700|8.195|             |
|NGC 6811         |19 37 22|+46 23.7|0.2|    6.05|         0.95|138|1227|8.805|        0.017|
|ASCC 23          |06 20 21|+46 40.5|0.375|        |             |96|600|8.485|             |
|Aveni-Hunter 1   |23 37 10|+48 33.0|0.4|  -54.30|        14.76|126|500|8.186|        0.173|
|Melotte 20       |03 26 42|+48 48.0|6.1|   -1.44|         0.65|621|175|7.7|             |
|Alessi 1         |00 53 19|+49 28.8|0.425|    6.00|         1.80|95|750|8.84|             |
|NGC 1513         |04 09 42|+49 30.6|0.155|  -15.13|         1.04|266|1400|8.5|             |
