field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|Basel 11B|05 58 15|+21 59.4|0.18|||293|1318|8.98|0.015|
|Basel 13|21 12 36|+46 31.8|0.145|||209|1313|8.96|0.032|
|Basel 14|21 21 02|+44 49.5|0.11|||81|1802|8.805||
|Basel 15|21 15 55|+48 51.2|0.115|||37|701|8.6||
|Basel 17|11 10 32|-59 02.0|0.125|||70|1697|7.975|0.031|
|Basel 20|09 30 59|-56 25.8|0.14|||171|1380|7.5||
|Basel 5|17 52 30|-30 06.3|0.2|||16|995|8.85||
|Basel 7|06 36 18|+08 19.8|0.095|||59|1560|8.105||
|Basel 8|06 34 12|+08 00.6|0.17|11.00|7.40|175|1432|7.925|0.099|
|Berkeley 103|23 45 16|+59 18.0|0.115|||87|1800|8.7||
|Berkeley 11|04 20 28|+44 54.9|0.165|||188|1964|8.7||
|Berkeley 15|05 02 07|+44 30.7|0.135|||153|1300|9.4||
|Berkeley 17|05 20 37|+30 35.4|0.22|-84.00|3.17|243|1800|9.6||
|Berkeley 28|06 52 08|+02 54.6|0.12|||85|1964|7.535||
|Berkeley 43|19 15 31|+11 15.9|0.18|||293|1355|8.785||
|Berkeley 44|19 17 14|+19 32.6|0.195|||477|1978|9.15||
|Berkeley 47|19 28 28|+17 21.6|0.147|||163|1462|7.97|0.007|
|Berkeley 50|20 10 05|+34 58.2|0.21|||508|1952|8.375|0.084|
|Berkeley 55|21 17 00|+51 45.9|0.1|||66|1700|8.57|0.036|
|Berkeley 59|00 02 14|+67 25.5|0.22|-12.50|7.08|89|1000|6.1||
|Berkeley 68|04 44 28|+42 06.0|0.165|||160|1800|9.11||
|Berkeley 80|18 54 20|-01 13.0|0.12|||101|1791|8.35||
|Berkeley 82|19 11 20|+13 05.8|0.14|-2.76|0.58|208|1125|8.06||
|Berkeley 85|20 18 45|+37 43.8|0.245|||621|1760|9.065|0.019|
|Berkeley 86|20 20 12|+38 41.4|0.115|-19.30|7.80|74|1653|6.8||
|Berkeley 87|20 21 38|+37 24.3|0.18|-8.65|1.88|162|1239|7.1||
|Berkeley 9|03 32 39|+52 39.0|0.13|||185|1550|9.3|0.041|
